,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
0,Borussia Dortmund,Werder Bremen,1.3,5.5,9.0,0
1,VfB Stuttgart,VfL Wolfsburg,2.0,3.5,3.6,2
2,FC Augsburg,Fortuna Düsseldorf,2.0,3.5,3.6,2
3,Eintracht Frankfurt,Bayer Leverkusen,2.8,3.4,2.4,0
4,SC Freiburg,1. FSV Mainz 05,2.5,3.3,2.75,1
5,SpVgg Greuther Fürth,Bayern München,8.5,4.75,1.36,2
6,Hamburger SV,1. FC Nürnberg,2.05,3.4,3.5,2
7,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1.91,3.4,4.0,0
8,Hannover 96,FC Schalke 04,2.88,3.4,2.38,1
9,1. FSV Mainz 05,SpVgg Greuther Fürth,1.8,3.5,4.5,2
10,Fortuna Düsseldorf,Borussia Mönchengladbach,2.9,3.3,2.4,1
11,TSG 1899 Hoffenheim,Eintracht Frankfurt,2.05,3.4,3.5,2
12,Bayer Leverkusen,SC Freiburg,1.57,4.0,5.5,0
13,1. FC Nürnberg,Borussia Dortmund,6.0,4.0,1.55,1
14,FC Schalke 04,FC Augsburg,1.36,4.75,8.5,0
15,Werder Bremen,Hamburger SV,1.73,3.75,4.5,0
16,Bayern München,VfB Stuttgart,1.25,6.0,11.0,0
17,VfL Wolfsburg,Hannover 96,1.95,3.5,3.75,2
18,FC Augsburg,VfL Wolfsburg,2.7,3.4,2.5,1
19,VfB Stuttgart,Fortuna Düsseldorf,1.62,3.8,5.5,1
20,Borussia Mönchengladbach,1. FC Nürnberg,2.0,3.4,3.75,2
21,Hannover 96,Werder Bremen,2.3,3.4,3.0,0
22,SpVgg Greuther Fürth,FC Schalke 04,3.75,3.5,1.95,2
23,Bayern München,1. FSV Mainz 05,1.17,7.0,15.0,0
24,Borussia Dortmund,Bayer Leverkusen,1.44,4.33,7.0,0
25,Eintracht Frankfurt,Hamburger SV,2.0,3.4,3.75,0
26,SC Freiburg,TSG 1899 Hoffenheim,2.4,3.4,2.8,0
27,1. FC Nürnberg,Eintracht Frankfurt,2.1,3.4,3.4,2
28,Fortuna Düsseldorf,SC Freiburg,2.15,3.4,3.3,1
29,Hamburger SV,Borussia Dortmund,5.25,4.2,1.57,0
30,1. FSV Mainz 05,FC Augsburg,1.73,3.6,4.75,0
31,FC Schalke 04,Bayern München,4.0,3.4,1.91,2
32,VfL Wolfsburg,SpVgg Greuther Fürth,1.8,3.75,4.2,1
33,TSG 1899 Hoffenheim,Hannover 96,2.5,3.4,2.7,0
34,Bayer Leverkusen,Borussia Mönchengladbach,1.91,3.6,3.8,1
35,Werder Bremen,VfB Stuttgart,1.91,3.6,3.75,1
36,FC Schalke 04,1. FSV Mainz 05,1.57,3.8,6.0,0
37,SpVgg Greuther Fürth,Fortuna Düsseldorf,2.15,3.25,3.5,2
38,Eintracht Frankfurt,Borussia Dortmund,4.2,3.75,1.8,1
39,Bayern München,VfL Wolfsburg,1.2,6.5,13.0,0
40,FC Augsburg,Bayer Leverkusen,3.2,3.3,2.25,2
41,SC Freiburg,Werder Bremen,2.5,3.4,2.7,2
42,Hannover 96,1. FC Nürnberg,2.1,3.4,3.4,0
43,Borussia Mönchengladbach,Hamburger SV,1.91,3.5,4.0,1
44,VfB Stuttgart,TSG 1899 Hoffenheim,1.83,3.75,4.0,2
45,Fortuna Düsseldorf,FC Schalke 04,4.33,3.5,1.83,1
46,Werder Bremen,Bayern München,6.0,4.0,1.53,2
47,1. FC Nürnberg,VfB Stuttgart,2.3,3.4,3.0,2
48,Bayer Leverkusen,SpVgg Greuther Fürth,1.44,4.33,7.0,0
49,Hamburger SV,Hannover 96,2.3,3.4,3.0,0
50,Borussia Dortmund,Borussia Mönchengladbach,1.36,4.5,9.0,0
51,TSG 1899 Hoffenheim,FC Augsburg,1.75,3.75,4.5,1
