,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season
0,2018-08-24,0,12,3,1,0,1,0,0,16,8,5.0,5.0,2,21,7,2,1,4,0,0,1.2,7.5,12.0,1.2,7.5,11.5,18/19
1,2018-08-25,1,10,1,2,2,1,0,0,9,14,5.0,7.0,11,10,7,5,1,0,0,0,2.37,3.25,3.0,2.4,3.3,3.0,18/19
2,2018-08-25,2,11,0,2,2,0,1,2,22,10,6.0,2.0,7,12,6,4,1,2,0,0,2.3,3.3,3.25,2.35,3.2,3.2,18/19
3,2018-08-25,3,14,1,0,0,1,0,0,10,12,3.0,3.0,13,10,8,4,2,2,0,0,2.04,3.4,3.75,2.05,3.4,3.7,18/19
4,2018-08-25,4,13,2,0,0,0,0,1,17,13,7.0,3.0,10,10,9,5,1,2,0,0,2.8,3.5,2.45,2.85,3.5,2.4,18/19
5,2018-08-25,5,9,1,1,1,0,0,1,15,13,3.0,4.0,5,6,4,3,0,0,0,0,1.85,3.6,4.0,1.87,3.75,4.0,18/19
6,2018-08-25,6,17,2,1,0,1,0,0,11,9,7.0,4.0,16,11,7,2,5,3,0,1,3.1,3.3,2.37,3.0,3.3,2.4,18/19
7,2018-08-26,7,16,4,1,0,3,1,0,10,10,5.0,7.0,8,11,7,9,2,2,0,0,1.72,3.8,4.75,1.75,3.8,4.6,18/19
8,2018-08-26,8,15,1,0,0,0,0,1,8,12,3.0,3.0,15,6,6,3,1,2,0,0,2.7,3.25,2.7,2.8,3.25,2.6,18/19
9,2018-08-31,9,7,0,0,1,0,0,1,7,8,0.0,3.0,11,5,4,1,0,0,0,0,5.5,4.33,1.57,5.5,4.33,1.57,18/19
10,2018-09-01,10,4,1,1,1,1,0,0,18,7,7.0,2.0,12,12,9,4,1,2,0,0,2.62,3.4,2.7,2.65,3.4,2.65,18/19
11,2018-09-01,11,5,1,2,2,0,1,2,5,11,1.0,6.0,6,11,8,3,1,2,1,0,2.4,3.5,2.9,2.45,3.4,2.85,18/19
12,2018-09-01,12,2,3,1,0,0,1,2,20,9,7.0,4.0,13,14,6,4,1,2,0,0,1.55,4.0,6.5,1.6,4.1,5.5,18/19
13,2018-09-01,13,6,1,3,2,1,1,1,16,12,3.0,5.0,13,13,5,3,3,3,0,0,1.61,4.33,5.0,1.65,3.9,5.25,18/19
14,2018-09-01,14,8,1,1,1,0,1,2,19,6,4.0,1.0,10,11,5,1,2,2,0,0,2.37,3.3,3.1,2.35,3.3,3.1,18/19
15,2018-09-01,15,0,0,3,2,0,1,2,4,20,0.0,6.0,3,5,0,12,0,0,0,0,11.0,5.5,1.28,11.0,5.25,1.3,18/19
16,2018-09-02,16,1,1,1,1,0,0,1,23,14,7.0,8.0,11,15,3,3,1,4,0,0,1.4,4.75,8.0,1.42,4.75,7.5,18/19
17,2018-09-02,17,3,0,2,2,0,1,2,16,5,4.0,3.0,16,15,9,0,1,1,1,0,1.75,3.6,5.0,1.78,3.5,5.0,18/19
18,2018-09-14,7,11,3,1,0,1,0,0,10,5,6.0,2.0,11,11,7,1,0,1,0,0,1.4,5.0,7.5,1.44,4.75,7.0,18/19
19,2018-09-15,0,13,3,1,0,2,1,0,18,3,5.0,1.0,4,12,9,1,0,1,0,1,1.2,7.0,13.0,1.22,6.75,12.5,18/19
20,2018-09-15,1,12,2,1,0,1,0,0,8,18,4.0,5.0,10,19,0,9,1,2,0,0,4.0,3.6,1.9,3.9,3.7,1.91,18/19
21,2018-09-15,8,10,2,1,0,0,0,1,22,13,7.0,4.0,9,16,5,4,1,2,0,0,2.54,3.25,2.87,2.6,3.1,2.9,18/19
22,2018-09-15,4,17,2,1,0,1,0,0,15,15,4.0,6.0,5,12,6,6,0,4,0,0,2.37,3.4,3.0,2.4,3.3,3.0,18/19
23,2018-09-15,16,9,3,2,0,2,1,0,15,16,6.0,8.0,12,12,4,12,4,4,0,0,1.53,4.33,5.5,1.53,4.5,5.75,18/19
24,2018-09-15,6,3,2,2,1,0,0,1,15,9,6.0,5.0,10,13,7,2,1,2,0,0,2.1,3.25,3.75,2.1,3.2,3.8,18/19
25,2018-09-16,2,15,3,3,1,1,1,1,12,11,5.0,6.0,13,11,5,8,3,4,1,0,2.62,3.25,2.75,2.55,3.2,2.9,18/19
26,2018-09-16,5,14,1,1,1,1,0,0,14,11,2.0,2.0,17,5,4,7,2,0,0,0,1.66,4.0,5.0,1.67,4.0,5.0,18/19
27,2018-09-21,15,1,0,0,1,0,0,1,10,19,1.0,7.0,8,19,2,9,0,2,0,0,1.72,3.6,5.25,1.72,3.7,5.0,18/19
28,2018-09-22,10,5,2,3,2,1,2,2,21,12,7.0,7.0,10,11,7,4,2,2,0,0,2.5,3.25,2.9,2.45,3.4,2.85,18/19
29,2018-09-22,3,4,4,2,0,2,1,0,16,17,7.0,4.0,9,13,8,7,2,2,0,0,2.37,3.3,3.1,2.5,3.3,2.9,18/19
30,2018-09-22,12,7,1,1,1,1,0,0,17,8,5.0,2.0,12,10,4,4,2,1,0,1,2.62,3.75,2.4,2.7,3.5,2.55,18/19
31,2018-09-22,14,9,2,0,0,0,0,1,14,9,6.0,3.0,16,7,9,3,3,1,0,1,2.5,3.25,2.9,2.45,3.4,2.85,18/19
32,2018-09-22,17,0,0,2,2,0,1,2,10,14,2.0,7.0,12,11,0,8,2,1,0,0,8.0,4.5,1.4,8.5,5.0,1.36,18/19
33,2018-09-22,6,2,1,3,2,0,2,2,17,12,9.0,8.0,12,17,7,7,0,3,0,0,1.72,3.6,5.25,1.7,3.8,5.0,18/19
34,2018-09-23,11,16,1,1,1,1,0,0,8,9,5.0,2.0,14,8,4,2,1,1,0,0,2.9,3.4,2.35,3.1,3.4,2.3,18/19
35,2018-09-23,13,8,1,0,0,0,0,1,18,12,5.0,5.0,12,13,7,4,2,2,0,0,1.57,4.33,5.5,1.57,4.25,5.5,18/19
36,2018-09-25,0,10,1,1,1,0,0,1,16,12,8.0,4.0,6,15,8,4,3,2,0,0,1.1,10.0,23.0,1.11,9.5,21.0,18/19
37,2018-09-25,2,17,1,0,0,0,0,1,15,15,4.0,3.0,12,11,3,3,2,4,0,0,3.5,3.2,2.14,3.4,3.3,2.2,18/19
38,2018-09-25,9,12,1,3,2,0,1,2,17,17,8.0,9.0,12,13,8,5,2,2,0,0,3.5,3.6,2.04,3.4,3.75,2.05,18/19
39,2018-09-25,5,3,3,1,0,2,0,0,14,12,6.0,2.0,13,9,2,3,1,3,0,0,2.0,3.5,3.8,2.1,3.5,3.5,18/19
40,2018-09-26,7,14,7,0,0,2,0,0,19,4,10.0,1.0,6,10,4,5,0,2,0,0,1.3,5.5,10.0,1.3,5.25,11.0,18/19
41,2018-09-26,1,13,1,2,2,0,0,1,16,6,4.0,3.0,6,12,7,5,2,2,0,0,3.75,3.75,1.95,3.9,3.7,1.91,18/19
42,2018-09-26,8,6,0,0,1,0,0,1,11,12,2.0,4.0,13,15,5,11,1,2,0,0,2.6,3.25,2.8,2.6,3.4,2.7,18/19
43,2018-09-26,4,11,3,1,0,0,0,1,21,12,9.0,2.0,7,11,9,6,0,0,0,0,1.75,3.8,4.75,1.78,3.75,4.5,18/19
44,2018-09-26,16,15,2,0,0,1,0,0,18,9,8.0,0.0,11,8,4,2,2,3,0,0,1.72,3.8,4.75,1.72,3.7,5.0,18/19
45,2018-09-28,3,0,2,0,0,2,0,0,6,25,4.0,5.0,14,10,1,14,3,1,0,0,10.0,5.75,1.28,9.75,5.75,1.3,18/19
46,2018-09-29,12,16,1,2,2,0,0,1,13,18,6.0,7.0,4,14,4,8,1,3,0,0,2.04,3.75,3.4,2.1,3.75,3.25,18/19
47,2018-09-29,13,7,2,4,2,2,0,0,14,16,6.0,10.0,11,12,6,8,1,1,0,0,2.8,3.5,2.4,2.8,3.5,2.45,18/19
48,2018-09-29,14,1,3,0,0,1,0,0,10,13,6.0,4.0,10,9,4,4,0,2,0,0,2.14,3.4,3.4,2.05,3.4,3.7,18/19
49,2018-09-29,17,8,1,0,0,1,0,0,15,15,2.0,5.0,22,21,4,5,2,2,0,0,1.64,3.75,5.5,1.65,3.8,5.5,18/19
50,2018-09-29,15,5,2,1,0,1,0,0,18,14,5.0,3.0,15,14,6,8,3,4,0,1,2.7,3.25,2.7,2.65,3.4,2.65,18/19
51,2018-09-29,6,4,2,2,1,1,1,1,13,10,3.0,3.0,6,14,6,3,2,2,0,0,2.3,3.4,3.1,2.35,3.4,3.0,18/19
52,2018-09-30,10,2,4,1,0,2,0,0,21,13,10.0,6.0,12,8,5,3,0,1,0,0,1.9,3.4,4.33,1.95,3.4,4.1,18/19
53,2018-09-30,11,9,4,1,0,2,0,0,15,4,7.0,1.0,16,11,3,4,1,2,0,0,1.9,3.6,4.0,2.0,3.5,3.75,18/19
54,2018-10-05,5,6,2,0,0,1,0,0,15,10,5.0,4.0,12,13,7,5,1,2,0,0,1.95,3.5,4.0,2.05,3.4,3.7,18/19
55,2018-10-06,0,4,0,3,2,0,2,2,14,7,3.0,3.0,7,4,1,3,2,2,0,0,1.2,7.0,13.0,1.22,7.0,11.5,18/19
56,2018-10-06,7,10,4,3,0,0,1,2,20,12,8.0,6.0,5,29,9,6,1,7,0,0,1.44,4.75,7.0,1.48,4.6,6.5,18/19
57,2018-10-06,1,17,0,2,2,0,0,1,9,15,3.0,5.0,17,15,4,6,3,1,0,0,3.6,3.4,2.1,3.6,3.5,2.05,18/19
58,2018-10-06,9,15,3,1,0,2,0,0,15,11,6.0,5.0,16,11,5,7,1,2,0,0,2.5,3.3,2.87,2.45,3.4,2.85,18/19
59,2018-10-06,8,3,0,0,1,0,0,1,23,11,3.0,1.0,12,9,5,6,0,2,0,0,2.7,3.2,2.7,2.8,3.2,2.6,18/19
60,2018-10-07,2,13,0,0,1,0,0,1,7,14,1.0,0.0,11,12,3,4,3,1,0,0,3.4,3.4,2.14,3.4,3.4,2.15,18/19
61,2018-10-07,12,11,1,2,2,0,1,2,20,6,4.0,4.0,15,16,6,0,2,4,0,1,1.72,3.8,4.75,1.72,3.9,4.75,18/19
62,2018-10-07,16,14,6,0,0,4,0,0,18,3,8.0,0.0,11,12,6,1,0,1,0,1,1.44,4.75,7.0,1.45,4.75,6.5,18/19
63,2018-10-19,11,1,7,1,0,3,0,0,21,10,13.0,5.0,13,12,5,1,0,2,0,0,1.61,3.8,5.75,1.65,4.0,5.25,18/19
64,2018-10-20,10,16,0,0,1,0,0,1,6,15,0.0,3.0,20,24,2,2,2,5,0,0,3.0,3.5,2.3,3.1,3.5,2.25,18/19
65,2018-10-20,13,9,2,2,1,1,1,1,19,9,7.0,7.0,14,18,9,5,1,5,0,1,1.5,4.33,6.5,1.53,4.4,6.0,18/19
66,2018-10-20,14,12,1,3,2,1,0,0,7,20,2.0,12.0,8,9,1,7,4,2,0,0,3.75,3.8,1.9,3.8,3.8,1.91,18/19
67,2018-10-20,17,5,0,2,2,0,1,2,14,8,4.0,3.0,13,9,3,1,1,4,0,0,2.04,3.4,3.75,2.05,3.5,3.6,18/19
68,2018-10-20,15,7,0,4,2,0,3,2,13,12,5.0,4.0,7,5,10,2,0,0,0,0,4.2,3.75,1.83,4.33,3.8,1.8,18/19
69,2018-10-20,6,0,1,3,2,0,1,2,8,13,1.0,11.0,9,12,2,9,2,4,0,1,8.5,5.0,1.36,8.5,5.0,1.36,18/19
70,2018-10-21,3,2,1,1,1,1,1,1,13,8,5.0,3.0,12,14,8,3,2,0,0,0,1.85,3.6,4.33,1.87,3.6,4.2,18/19
71,2018-10-21,4,8,4,0,0,1,0,0,16,13,8.0,4.0,4,10,4,6,0,2,0,0,1.61,4.33,5.0,1.6,4.2,5.25,18/19
72,2018-10-26,2,4,3,1,0,1,1,1,13,11,7.0,2.0,9,12,3,10,1,1,0,0,3.5,3.6,2.0,3.4,3.6,2.1,18/19
73,2018-10-27,7,3,2,2,1,1,1,1,19,10,5.0,4.0,7,15,8,2,2,3,0,0,1.4,4.75,8.0,1.42,4.75,7.25,18/19
74,2018-10-27,1,6,0,3,2,0,1,2,8,18,1.0,6.0,12,11,4,9,3,6,0,0,3.0,3.4,2.37,2.95,3.4,2.4,18/19
75,2018-10-27,9,10,1,2,2,0,1,2,17,9,4.0,4.0,15,16,5,4,2,3,0,0,2.6,3.3,2.75,2.55,3.3,2.8,18/19
76,2018-10-27,12,15,4,0,0,0,0,1,22,6,10.0,0.0,11,9,6,3,1,1,0,1,1.57,4.33,5.5,1.57,4.6,5.0,18/19
77,2018-10-27,8,0,1,2,2,0,1,2,6,21,1.0,5.0,13,6,2,7,3,1,0,0,11.0,6.5,1.25,10.0,6.25,1.26,18/19
78,2018-10-28,14,11,1,1,1,0,0,1,10,10,3.0,2.0,11,13,8,6,2,3,0,0,3.3,3.5,2.14,3.3,3.5,2.15,18/19
79,2018-10-28,16,17,0,0,1,0,0,1,15,6,2.0,0.0,11,13,7,4,3,2,0,0,1.75,3.6,4.75,1.85,3.5,4.4,18/19
80,2018-10-28,5,13,2,6,2,0,3,2,14,17,6.0,10.0,9,8,6,6,2,2,0,0,2.3,3.4,3.1,2.3,3.6,3.0,18/19
81,2018-11-02,15,11,0,3,2,0,2,2,10,15,0.0,7.0,4,10,1,3,1,2,0,0,3.0,3.5,2.3,2.9,3.5,2.4,18/19
82,2018-11-03,10,14,2,2,1,1,0,0,17,13,4.0,5.0,16,11,6,6,3,3,0,0,1.6,3.8,6.0,1.6,4.0,5.75,18/19
83,2018-11-03,0,2,1,1,1,0,0,1,24,10,6.0,1.0,9,8,14,2,1,1,0,0,1.11,10.0,21.0,1.11,11.0,18.5,18/19
84,2018-11-03,3,16,0,3,2,0,1,2,12,25,5.0,11.0,6,11,3,7,2,1,0,0,3.2,3.4,2.25,3.3,3.4,2.2,18/19
85,2018-11-03,13,12,1,4,2,1,2,2,21,10,9.0,4.0,6,17,6,7,0,2,0,0,2.1,4.0,3.1,2.15,3.6,3.25,18/19
86,2018-11-03,17,9,3,1,0,0,0,1,16,20,6.0,6.0,10,10,7,7,2,3,0,0,1.61,3.8,6.0,1.62,3.8,5.75,18/19
87,2018-11-03,6,7,0,1,2,0,1,2,13,12,3.0,1.0,6,9,6,14,0,2,0,0,3.8,3.8,1.9,3.8,3.75,1.91,18/19
88,2018-11-04,8,5,2,1,0,1,0,0,13,14,6.0,4.0,7,8,3,6,0,2,0,0,3.0,3.4,2.37,2.95,3.5,2.35,18/19
89,2018-11-04,4,1,3,0,0,0,0,1,21,13,7.0,6.0,15,8,10,4,1,2,0,0,1.36,4.75,8.0,1.4,4.75,8.0,18/19
90,2018-11-09,9,6,2,1,0,1,0,0,10,19,4.0,9.0,14,8,3,5,4,2,0,0,2.9,3.3,2.37,2.9,3.4,2.45,18/19
91,2018-11-10,7,0,3,2,0,0,1,2,11,9,5.0,3.0,4,8,0,6,3,3,0,0,3.1,3.8,2.1,3.0,3.9,2.15,18/19
92,2018-11-10,1,3,4,1,0,0,0,1,20,11,9.0,5.0,15,15,2,6,1,3,0,1,3.6,3.4,2.1,3.5,3.5,2.1,18/19
93,2018-11-10,2,8,1,3,2,0,2,2,15,12,4.0,9.0,19,10,3,4,1,2,0,0,2.0,3.4,3.75,2.1,3.4,3.6,18/19
94,2018-11-10,12,10,2,1,0,0,0,1,18,22,7.0,7.0,14,6,6,6,1,1,0,0,1.61,4.33,5.0,1.62,4.25,5.0,18/19
95,2018-11-10,14,15,0,2,2,0,0,1,10,13,3.0,4.0,14,10,3,9,1,0,0,0,2.4,3.25,3.1,2.45,3.4,2.9,18/19
96,2018-11-10,5,4,1,3,2,0,1,2,20,16,5.0,6.0,7,2,9,5,0,0,0,0,2.4,3.5,2.75,2.45,3.5,2.8,18/19
97,2018-11-11,11,17,3,0,0,0,0,1,14,5,4.0,1.0,7,13,10,4,0,2,0,0,2.2,3.3,3.4,2.3,3.4,3.1,18/19
98,2018-11-11,16,13,3,0,0,1,0,0,14,7,7.0,2.0,12,12,4,3,0,1,0,0,1.8,4.0,4.0,1.85,3.9,3.9,18/19
99,2018-11-23,13,15,2,0,0,0,0,1,17,10,4.0,2.0,13,8,6,9,3,3,0,0,1.5,4.5,6.0,1.55,4.33,5.75,18/19
100,2018-11-24,10,11,1,3,2,0,1,2,25,15,10.0,7.0,3,12,8,5,1,2,0,0,2.62,3.5,2.62,2.6,3.5,2.6,18/19
101,2018-11-24,0,1,3,3,1,2,1,0,17,9,5.0,5.0,4,7,9,2,0,1,0,0,1.08,11.0,26.0,1.09,11.5,23.0,18/19
102,2018-11-24,3,12,3,3,1,1,2,2,23,13,8.0,6.0,9,13,8,5,1,2,0,0,3.4,3.75,2.04,3.4,3.6,2.1,18/19
103,2018-11-24,8,7,1,2,2,0,0,1,15,11,7.0,7.0,9,11,6,5,2,1,0,0,5.5,4.0,1.6,5.75,4.1,1.57,18/19
104,2018-11-24,17,14,5,2,0,2,1,0,20,12,10.0,6.0,7,12,7,2,1,2,0,1,1.53,4.0,7.0,1.5,4.0,7.25,18/19
105,2018-11-24,6,16,1,0,0,0,0,1,5,10,3.0,4.0,10,13,2,9,1,2,0,0,3.5,3.5,2.1,3.5,3.5,2.1,18/19
106,2018-11-25,2,5,1,1,1,1,0,0,23,19,9.0,8.0,6,10,6,3,0,2,0,0,2.87,3.3,2.5,2.75,3.5,2.5,18/19
107,2018-11-25,4,9,4,1,0,2,1,0,20,5,6.0,3.0,8,10,5,5,1,1,0,0,1.44,4.5,7.0,1.48,4.4,7.0,18/19
108,2018-11-30,1,8,0,1,2,0,0,1,20,15,7.0,3.0,8,7,12,5,1,1,0,0,2.7,3.3,2.6,2.65,3.3,2.7,18/19
109,2018-12-01,7,2,2,0,0,1,0,0,11,5,4.0,1.0,6,11,2,3,1,1,0,0,1.28,5.5,11.0,1.28,5.5,11.0,18/19
110,2018-12-01,9,3,0,2,2,0,1,2,10,14,2.0,8.0,9,14,3,6,2,3,0,0,2.7,3.4,2.6,2.65,3.4,2.65,18/19
111,2018-12-01,12,17,1,1,1,0,0,1,20,13,7.0,5.0,11,13,4,10,3,3,0,0,1.8,3.8,4.33,1.85,3.8,4.1,18/19
112,2018-12-01,15,10,1,0,0,1,0,0,13,17,3.0,4.0,11,10,3,8,4,2,0,0,2.6,3.3,2.75,2.6,3.4,2.7,18/19
113,2018-12-01,5,0,1,2,2,1,1,1,9,16,3.0,5.0,13,8,3,10,3,2,1,0,7.0,5.25,1.4,7.25,5.0,1.4,18/19
114,2018-12-02,11,6,1,2,2,0,1,2,13,10,2.0,3.0,10,9,9,3,3,7,0,0,1.8,4.0,4.1,1.85,3.7,4.2,18/19
115,2018-12-02,16,4,2,0,0,2,0,0,14,7,6.0,4.0,9,9,5,4,2,2,0,0,1.9,3.75,3.75,1.9,3.9,3.75,18/19
116,2018-12-03,14,13,1,1,1,0,1,2,11,20,4.0,6.0,14,10,3,6,3,2,0,0,4.2,4.0,1.8,4.33,3.9,1.78,18/19
117,2018-12-07,5,1,3,1,0,1,1,1,22,12,9.0,3.0,13,18,6,4,3,4,0,0,1.72,4.0,4.5,1.7,4.0,4.75,18/19
118,2018-12-08,0,14,3,0,0,2,0,0,20,4,8.0,1.0,9,6,11,1,1,0,0,0,1.08,11.0,34.0,1.09,10.5,29.0,18/19
119,2018-12-08,2,16,3,0,0,2,0,0,12,15,9.0,4.0,9,16,3,12,1,2,0,0,4.0,4.0,1.83,4.2,3.9,1.8,18/19
120,2018-12-08,3,11,1,0,0,1,0,0,7,18,4.0,4.0,15,14,5,9,1,0,0,0,2.45,3.3,2.9,2.6,3.6,2.6,18/19
121,2018-12-08,13,10,1,0,0,0,0,1,21,13,7.0,1.0,11,17,4,2,1,2,0,0,1.66,4.0,5.0,1.65,4.33,4.75,18/19
122,2018-12-08,17,7,1,2,2,0,1,2,6,10,3.0,3.0,12,9,3,1,4,3,0,0,3.3,3.4,2.2,3.4,3.4,2.15,18/19
123,2018-12-08,6,12,2,2,1,2,1,0,10,19,3.0,6.0,9,9,6,4,1,2,0,0,3.0,3.6,2.3,3.0,3.5,2.3,18/19
124,2018-12-09,8,9,1,1,1,0,1,2,28,11,5.0,3.0,12,9,9,1,4,3,0,1,1.9,3.6,4.0,1.91,3.6,4.0,18/19
125,2018-12-09,4,15,3,0,0,0,0,1,23,7,7.0,2.0,7,12,7,4,2,4,0,1,1.44,4.33,7.0,1.5,4.33,6.5,18/19
126,2018-12-14,14,6,0,2,2,0,0,1,11,10,0.0,4.0,13,13,6,3,2,1,0,0,3.6,3.5,2.04,3.6,3.4,2.1,18/19
127,2018-12-15,10,17,1,1,1,1,0,0,17,15,9.0,5.0,17,8,6,7,2,1,0,0,2.5,3.25,2.9,2.55,3.3,2.8,18/19
128,2018-12-15,7,5,2,1,0,2,1,0,16,9,9.0,5.0,11,14,4,10,1,4,0,0,1.36,5.25,8.0,1.42,4.75,7.25,18/19
129,2018-12-15,1,2,2,0,0,0,0,1,20,6,8.0,2.0,13,9,4,1,2,1,0,0,2.75,3.3,2.6,2.6,3.5,2.65,18/19
130,2018-12-15,9,0,0,4,2,0,2,2,3,32,0.0,14.0,9,5,0,14,1,0,0,0,11.0,7.0,1.22,11.5,6.75,1.22,18/19
131,2018-12-15,12,4,0,0,1,0,0,1,27,5,6.0,1.0,9,10,6,2,0,2,0,0,1.9,4.0,3.6,1.95,3.9,3.5,18/19
132,2018-12-15,15,3,2,1,0,0,1,2,9,15,4.0,3.0,11,13,5,5,1,3,0,0,2.7,3.4,2.62,2.6,3.5,2.65,18/19
133,2018-12-16,11,13,2,1,0,1,0,0,17,12,7.0,6.0,9,8,10,7,6,2,0,0,2.4,3.5,2.87,2.4,3.5,2.9,18/19
134,2018-12-16,16,8,4,1,0,2,1,0,17,11,7.0,5.0,9,13,6,2,3,3,0,0,1.4,4.75,7.5,1.45,4.6,7.0,18/19
135,2018-12-18,1,7,2,1,0,1,0,0,8,11,3.0,3.0,8,13,2,2,1,2,0,0,7.0,4.5,1.44,7.0,4.6,1.45,18/19
136,2018-12-18,3,10,2,2,1,2,2,1,17,8,7.0,2.0,17,13,3,2,1,0,0,0,2.3,3.4,3.1,2.25,3.3,3.3,18/19
137,2018-12-18,4,14,2,0,0,0,0,1,17,7,7.0,2.0,5,19,6,7,2,3,0,0,1.36,5.5,7.0,1.36,5.75,7.0,18/19
138,2018-12-18,6,15,2,0,0,2,0,0,16,11,5.0,1.0,10,17,4,8,1,2,0,0,1.66,3.75,5.5,1.72,3.7,5.0,18/19
139,2018-12-19,0,16,1,0,0,0,0,1,10,8,4.0,2.0,9,20,5,5,2,2,1,1,1.36,5.25,8.0,1.36,5.25,8.0,18/19
