,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season
0,2016-08-05,0,14,0,4,2,1,2,,,,,,,,,,,,,2.4,3.25,2.9,2.45,3.3,2.7,16/17
1,2016-08-06,1,17,2,1,0,0,1,,,,,,,,,,,,,2.2,3.3,3.3,2.1,3.4,3.2,16/17
2,2016-08-06,2,11,1,1,1,1,2,,,,,,,,,,,,,2.6,3.3,2.63,2.55,3.25,2.65,16/17
3,2016-08-06,3,10,2,2,1,1,0,,,,,,,,,,,,,2.63,3.2,2.7,2.6,3.1,2.7,16/17
4,2016-08-07,4,12,0,0,1,0,1,,,,,,,,,,,,,2.7,3.1,2.7,2.6,3.2,2.6,16/17
5,2016-08-07,5,16,2,1,0,0,0,,,,,,,,,,,,,2.0,3.4,3.75,1.85,3.5,3.9,16/17
6,2016-08-07,6,15,1,0,0,0,0,,,,,,,,,,,,,2.1,3.3,3.5,2.3,3.3,2.9,16/17
7,2016-08-07,7,9,1,0,0,0,0,,,,,,,,,,,,,2.15,3.3,3.4,2.05,3.2,3.6,16/17
8,2016-08-08,8,13,2,1,0,1,2,,,,,,,,,,,,,1.73,3.6,4.75,1.75,3.6,4.33,16/17
9,2016-08-12,9,3,2,0,0,0,0,,,,,,,,,,,,,2.15,3.3,3.4,2.1,3.2,3.7,16/17
10,2016-08-12,10,8,1,0,0,0,1,,,,,,,,,,,,,3.6,3.4,2.0,3.25,3.4,2.2,16/17
11,2016-08-12,11,7,1,1,1,0,0,,,,,,,,,,,,,1.85,3.6,4.0,1.85,3.5,4.33,16/17
12,2016-08-13,12,1,1,1,1,1,2,,,,,,,,,,,,,2.5,3.2,2.88,2.4,3.2,2.85,16/17
13,2016-08-13,13,5,0,2,2,1,2,,,,,,,,,,,,,2.25,3.4,3.1,2.3,3.3,3.1,16/17
14,2016-08-14,14,6,3,1,0,0,0,,,,,,,,,,,,,1.8,3.6,4.33,1.83,3.6,4.33,16/17
15,2016-08-14,15,4,1,0,0,0,1,,,,,,,,,,,,,2.2,3.3,3.3,2.15,3.25,3.5,16/17
16,2016-08-14,16,0,1,1,1,1,1,,,,,,,,,,,,,2.45,3.25,2.88,2.4,3.2,3.0,16/17
17,2016-08-15,17,2,2,2,1,1,2,,,,,,,,,,,,,2.15,3.4,3.3,2.15,3.25,3.5,16/17
18,2016-08-26,1,14,1,1,1,0,1,,,,,,,,,,,,,2.4,3.3,2.88,2.45,3.3,2.7,16/17
19,2016-08-26,7,16,1,2,2,1,2,,,,,,,,,,,,,2.05,3.3,3.6,2.05,3.2,3.6,16/17
20,2016-08-26,3,8,1,2,2,1,2,,,,,,,,,,,,,3.6,3.5,2.0,3.6,3.4,1.95,16/17
21,2016-08-27,6,9,3,2,0,0,0,,,,,,,,,,,,,2.2,3.3,3.3,2.15,3.3,3.2,16/17
22,2016-08-27,12,15,0,0,1,0,1,,,,,,,,,,,,,2.25,3.2,3.3,2.2,3.3,3.1,16/17
23,2016-08-28,4,17,4,4,1,1,0,,,,,,,,,,,,,2.4,3.3,2.88,2.45,3.2,2.75,16/17
24,2016-08-28,5,11,6,1,0,1,0,,,,,,,,,,,,,2.25,3.4,3.1,2.3,3.25,3.0,16/17
25,2016-08-28,2,13,1,0,0,0,0,,,,,,,,,,,,,2.2,3.2,3.4,2.15,3.25,3.25,16/17
26,2016-08-29,0,10,0,0,1,0,1,,,,,,,,,,,,,1.91,3.6,3.75,1.95,3.4,3.7,16/17
27,2016-09-09,9,5,0,2,2,1,2,,,,,,,,,,,,,3.4,3.2,2.2,3.25,3.1,2.35,16/17
28,2016-09-09,8,7,1,2,2,0,1,,,,,,,,,,,,,1.8,3.5,4.5,1.8,3.6,4.5,16/17
29,2016-09-09,16,1,2,0,0,0,1,,,,,,,,,,,,,2.38,3.1,3.1,2.45,3.25,2.9,16/17
30,2016-09-10,13,4,2,1,0,0,0,,,,,,,,,,,,,2.3,3.2,3.1,2.3,3.2,3.2,16/17
31,2016-09-10,17,12,4,0,0,0,0,,,,,,,,,,,,,2.1,3.3,3.5,2.2,3.3,3.3,16/17
32,2016-09-11,10,6,1,1,1,1,2,,,,,,,,,,,,,2.4,3.25,3.0,2.4,3.3,2.95,16/17
33,2016-09-11,14,2,0,2,2,1,2,,,,,,,,,,,,,1.8,3.75,4.2,1.85,3.6,4.1,16/17
34,2016-09-11,3,0,2,0,0,0,0,,,,,,,,,,,,,2.9,3.25,2.4,3.0,3.2,2.4,16/17
35,2016-09-12,11,15,1,2,2,1,1,,,,,,,,,,,,,2.0,3.4,3.75,2.05,3.4,3.6,16/17
36,2016-09-16,1,11,5,4,0,3,1,,,,,,,,,,,,,1.91,3.6,3.75,2.05,3.5,3.5,16/17
37,2016-09-16,6,16,0,3,2,1,2,,,,,,,,,,,,,2.45,3.3,2.8,2.4,3.25,3.0,16/17
38,2016-09-16,15,17,1,2,2,2,2,,,,,,,,,,,,,2.3,3.3,3.1,2.35,3.3,3.0,16/17
39,2016-09-17,5,3,2,1,0,0,1,,,,,,,,,,,,,1.67,3.5,5.5,1.7,3.6,4.75,16/17
40,2016-09-17,7,10,2,0,0,0,1,,,,,,,,,,,,,2.2,3.3,3.25,2.2,3.2,3.2,16/17
41,2016-09-17,0,8,0,1,2,0,1,,,,,,,,,,,,,2.7,3.4,2.5,2.9,3.2,2.35,16/17
42,2016-09-18,4,14,3,3,1,1,0,,,,,,,,,,,,,2.8,3.4,2.4,2.85,3.2,2.4,16/17
43,2016-09-18,2,9,0,3,2,1,2,,,,,,,,,,,,,2.0,3.3,3.8,2.0,3.3,3.6,16/17
44,2016-09-18,12,13,1,1,1,1,2,,,,,,,,,,,,,2.2,3.4,3.2,2.2,3.3,3.1,16/17
45,2016-09-20,10,1,3,0,0,0,0,,,,,,,,,,,,,2.6,3.3,2.63,2.65,3.4,2.6,16/17
46,2016-09-20,11,6,1,2,2,1,2,,,,,,,,,,,,,2.2,3.4,3.2,2.2,3.4,3.25,16/17
47,2016-09-20,3,7,0,0,1,0,1,,,,,,,,,,,,,2.8,3.1,2.63,2.8,3.0,2.7,16/17
48,2016-09-20,8,5,2,0,0,0,0,,,,,,,,,,,,,2.0,3.4,3.75,2.1,3.5,3.4,16/17
49,2016-09-21,9,4,1,1,1,0,0,,,,,,,,,,,,,2.45,3.1,3.0,2.4,3.3,2.95,16/17
50,2016-09-21,14,12,1,0,0,0,0,,,,,,,,,,,,,1.7,3.75,4.75,1.67,3.8,5.0,16/17
51,2016-09-21,0,2,3,0,0,0,0,,,,,,,,,,,,,2.25,3.3,3.2,2.25,3.5,3.0,16/17
52,2016-09-21,16,17,0,1,2,0,1,,,,,,,,,,,,,2.5,3.25,2.8,2.4,3.3,2.95,16/17
53,2016-09-22,13,15,2,2,1,0,0,,,,,,,,,,,,,2.3,3.2,3.1,2.2,3.3,3.3,16/17
54,2016-09-23,1,8,1,1,1,0,1,,,,,,,,,,,,,3.2,3.5,2.15,3.1,3.7,2.2,16/17
55,2016-09-23,5,10,2,1,0,0,0,,,,,,,,,,,,,1.95,3.3,4.0,2.0,3.4,3.9,16/17
56,2016-09-23,6,3,1,1,1,0,1,,,,,,,,,,,,,2.25,3.25,3.2,2.3,3.3,3.2,16/17
57,2016-09-24,7,0,3,0,0,0,0,,,,,,,,,,,,,2.38,3.2,3.0,2.4,3.2,3.1,16/17
58,2016-09-24,12,9,2,0,0,0,1,,,,,,,,,,,,,2.4,3.2,3.0,2.3,3.2,3.3,16/17
59,2016-09-25,4,11,1,3,2,0,0,,,,,,,,,,,,,2.2,3.4,3.2,2.3,3.4,3.1,16/17
60,2016-09-25,2,16,2,2,1,0,0,,,,,,,,,,,,,2.38,3.2,3.0,2.4,3.3,3.0,16/17
61,2016-09-25,15,14,0,2,2,0,1,,,,,,,,,,,,,2.75,3.3,2.5,2.7,3.4,2.6,16/17
62,2016-09-26,17,13,2,0,0,0,0,,,,,,,,,,,,,2.1,3.4,3.4,2.2,3.4,3.3,16/17
63,2016-09-30,9,1,2,4,2,2,1,,,,,,,,,,,,,2.38,3.3,2.9,2.3,3.2,3.0,16/17
64,2016-09-30,11,17,2,0,0,0,0,,,,,,,,,,,,,2.2,3.5,3.1,2.25,3.3,3.0,16/17
65,2016-09-30,3,2,2,0,0,0,0,,,,,,,,,,,,,2.38,3.2,3.0,2.3,3.2,3.0,16/17
66,2016-10-01,10,12,1,1,1,0,0,,,,,,,,,,,,,2.1,3.3,3.5,2.2,3.2,3.2,16/17
67,2016-10-01,14,13,2,0,0,0,1,,,,,,,,,,,,,1.8,3.5,4.5,1.72,3.7,4.4,16/17
68,2016-10-02,7,5,1,1,1,0,0,,,,,,,,,,,,,2.7,3.25,2.55,2.65,3.0,2.7,16/17
69,2016-10-02,0,4,0,0,1,0,1,,,,,,,,,,,,,2.05,3.4,3.5,2.0,3.3,3.6,16/17
70,2016-10-02,16,15,2,0,0,0,0,,,,,,,,,,,,,2.3,3.25,3.1,2.25,3.2,3.1,16/17
71,2016-10-03,8,6,4,0,0,0,0,,,,,,,,,,,,,1.67,3.8,5.0,1.75,3.6,4.25,16/17
72,2016-10-14,4,16,0,1,2,0,1,,,,,,,,,,,,,2.45,3.1,3.0,2.4,3.1,3.1,16/17
73,2016-10-14,1,3,2,2,1,1,2,,,,,,,,,,,,,2.0,3.4,3.75,1.95,3.5,3.8,16/17
74,2016-10-14,13,9,1,2,2,1,1,,,,,,,,,,,,,1.8,3.6,4.33,1.85,3.5,4.25,16/17
75,2016-10-15,2,8,5,0,0,0,0,,,,,,,,,,,,,3.6,3.5,2.0,3.7,3.4,2.0,16/17
76,2016-10-15,6,7,0,2,2,2,2,,,,,,,,,,,,,2.25,3.25,3.2,2.25,3.4,3.1,16/17
77,2016-10-16,12,11,0,3,2,0,1,,,,,,,,,,,,,2.5,3.25,2.8,2.6,3.25,2.75,16/17
78,2016-10-16,15,10,1,3,2,3,2,,,,,,,,,,,,,2.25,3.2,3.2,2.35,3.2,3.1,16/17
79,2016-10-16,17,14,2,1,0,0,1,,,,,,,,,,,,,2.6,3.3,2.63,2.5,3.3,2.8,16/17
80,2016-10-17,5,0,1,0,0,0,0,,,,,,,,,,,,,1.85,3.6,4.0,1.87,3.5,3.9,16/17
81,2016-10-21,10,4,4,0,0,0,0,,,,,,,,,,,,,2.0,3.4,3.8,2.05,3.3,3.7,16/17
82,2016-10-21,8,15,2,1,0,1,0,,,,,,,,,,,,,1.57,4.0,5.5,1.6,4.0,5.5,16/17
83,2016-10-21,16,12,0,2,2,1,2,,,,,,,,,,,,,2.05,3.0,4.2,2.05,3.2,3.9,16/17
84,2016-10-22,7,2,0,0,1,0,1,,,,,,,,,,,,,2.15,3.4,3.3,2.1,3.5,3.4,16/17
85,2016-10-22,3,13,3,0,0,0,0,,,,,,,,,,,,,2.25,3.2,3.3,2.35,3.25,3.1,16/17
86,2016-10-23,5,6,1,0,0,0,1,,,,,,,,,,,,,1.73,3.6,4.75,1.78,3.75,4.33,16/17
87,2016-10-23,9,17,1,3,2,1,1,,,,,,,,,,,,,3.1,3.25,2.3,2.85,3.25,2.5,16/17
88,2016-10-23,11,14,2,0,0,0,0,,,,,,,,,,,,,2.45,3.25,2.88,2.4,3.4,2.9,16/17
89,2016-10-24,0,1,3,0,0,0,0,,,,,,,,,,,,,2.4,3.25,2.9,2.45,3.25,2.9,16/17
90,2016-10-28,4,3,1,0,0,0,1,,,,,,,,,,,,,2.5,3.2,2.88,2.4,3.25,3.0,16/17
91,2016-10-28,2,5,3,2,0,1,2,,,,,,,,,,,,,2.88,3.3,2.4,2.95,3.4,2.35,16/17
92,2016-10-28,15,9,6,2,0,1,0,,,,,,,,,,,,,2.2,3.3,3.25,2.2,3.3,3.3,16/17
93,2016-10-29,6,0,0,1,2,0,1,,,,,,,,,,,,,2.25,3.4,3.1,2.3,3.3,3.1,16/17
94,2016-10-29,17,10,0,1,2,0,1,,,,,,,,,,,,,2.05,3.3,3.6,2.05,3.4,3.6,16/17
95,2016-10-30,1,7,2,1,0,0,0,,,,,,,,,,,,,2.15,3.5,3.2,2.25,3.25,3.25,16/17
96,2016-10-30,14,16,3,1,0,1,2,,,,,,,,,,,,,1.75,3.5,4.75,1.8,3.6,4.33,16/17
97,2016-10-30,12,8,1,3,2,1,2,,,,,,,,,,,,,3.5,3.4,2.05,3.4,3.3,2.15,16/17
98,2016-10-31,13,11,1,1,1,1,1,,,,,,,,,,,,,2.63,3.3,2.6,2.75,3.4,2.5,16/17
99,2016-11-04,9,11,1,2,2,1,2,,,,,,,,,,,,,3.1,3.5,2.2,3.0,3.5,2.25,16/17
100,2016-11-04,10,2,0,3,2,2,2,,,,,,,,,,,,,2.25,3.3,3.2,2.2,3.3,3.3,16/17
