,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,Season
0,2018-08-10,0,13,2.0,1.0,0.0,0.0,0.0,8.0,13.0,6.0,4.0,11.0,8.0,2.0,5.0,2.0,1.0,0.0,0.0,1.57,3.9,7.5,1.53,18/19
1,2018-08-11,1,10,2.0,0.0,0.0,0.0,0.0,12.0,10.0,4.0,1.0,11.0,9.0,7.0,4.0,1.0,1.0,0.0,0.0,1.9,3.6,4.5,1.9,18/19
2,2018-08-11,2,19,0.0,2.0,2.0,1.0,2.0,15.0,10.0,6.0,9.0,9.0,11.0,5.0,5.0,1.0,2.0,0.0,0.0,2.5,3.4,3.0,2.45,18/19
3,2018-08-11,3,11,0.0,3.0,2.0,2.0,2.0,6.0,13.0,1.0,4.0,9.0,8.0,2.0,5.0,2.0,1.0,0.0,0.0,6.5,4.0,1.61,6.25,18/19
4,2018-08-11,4,14,1.0,2.0,2.0,2.0,2.0,15.0,15.0,2.0,5.0,11.0,12.0,3.0,5.0,2.0,2.0,0.0,0.0,3.9,3.5,2.04,3.8,18/19
5,2018-08-11,5,16,2.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,0.0,10.0,16.0,8.0,2.0,2.0,2.0,0.0,0.0,2.37,3.2,3.4,2.35,18/19
6,2018-08-11,6,12,2.0,2.0,1.0,1.0,1.0,11.0,6.0,4.0,5.0,8.0,7.0,3.0,6.0,0.0,1.0,0.0,1.0,2.37,3.3,3.3,2.35,18/19
7,2018-08-12,7,18,0.0,2.0,2.0,1.0,2.0,9.0,17.0,3.0,8.0,11.0,14.0,2.0,9.0,2.0,2.0,0.0,0.0,4.0,3.8,1.95,3.7,18/19
8,2018-08-12,8,15,4.0,0.0,0.0,0.0,0.0,18.0,5.0,8.0,2.0,14.0,9.0,5.0,4.0,1.0,2.0,0.0,0.0,1.25,6.5,14.0,1.2,18/19
9,2018-08-12,9,17,0.0,0.0,1.0,0.0,1.0,18.0,16.0,3.0,6.0,10.0,9.0,8.0,5.0,0.0,1.0,0.0,0.0,1.85,3.5,5.0,1.8,18/19
10,2018-08-18,10,4,0.0,0.0,1.0,0.0,1.0,12.0,12.0,1.0,6.0,14.0,16.0,5.0,5.0,2.0,2.0,0.0,1.0,3.25,3.1,2.54,3.1,18/19
11,2018-08-18,11,7,3.0,2.0,0.0,2.0,1.0,24.0,15.0,11.0,6.0,12.0,9.0,5.0,1.0,0.0,2.0,0.0,0.0,1.8,4.0,4.5,1.78,18/19
12,2018-08-18,12,9,2.0,1.0,0.0,0.0,0.0,13.0,15.0,7.0,4.0,8.0,20.0,2.0,5.0,0.0,5.0,0.0,0.0,1.9,3.5,4.75,1.91,18/19
13,2018-08-18,13,6,2.0,0.0,0.0,0.0,0.0,6.0,11.0,2.0,3.0,10.0,8.0,1.0,9.0,2.0,1.0,1.0,0.0,2.04,3.5,3.9,2.0,18/19
14,2018-08-18,14,2,3.0,1.0,0.0,0.0,0.0,25.0,10.0,11.0,3.0,9.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,1.28,6.0,12.0,1.28,18/19
15,2018-08-18,15,1,1.0,2.0,2.0,0.0,0.0,11.0,12.0,5.0,5.0,14.0,10.0,6.0,4.0,6.0,2.0,0.0,0.0,2.1,3.6,3.7,2.1,18/19
16,2018-08-19,16,0,3.0,2.0,0.0,1.0,0.0,6.0,9.0,3.0,3.0,16.0,13.0,3.0,5.0,1.0,1.0,0.0,0.0,5.5,3.6,1.75,5.5,18/19
17,2018-08-19,17,5,1.0,3.0,2.0,1.0,1.0,8.0,9.0,3.0,6.0,8.0,19.0,5.0,2.0,1.0,2.0,0.0,0.0,2.45,3.1,3.4,2.4,18/19
18,2018-08-19,18,3,6.0,1.0,0.0,1.0,0.0,32.0,5.0,14.0,1.0,9.0,4.0,10.0,3.0,0.0,2.0,0.0,0.0,1.1,13.0,26.0,1.07,18/19
19,2018-08-20,19,8,0.0,2.0,2.0,1.0,2.0,8.0,16.0,2.0,6.0,6.0,13.0,6.0,7.0,1.0,1.0,1.0,0.0,7.0,5.0,1.44,6.75,18/19
20,2018-08-25,7,15,3.0,1.0,0.0,1.0,1.0,17.0,13.0,10.0,5.0,16.0,13.0,10.0,2.0,1.0,3.0,0.0,0.0,1.36,5.5,9.0,1.36,18/19
21,2018-08-25,1,12,2.0,2.0,1.0,0.0,1.0,17.0,11.0,5.0,3.0,12.0,10.0,6.0,2.0,0.0,3.0,1.0,1.0,2.62,3.6,2.75,2.6,18/19
22,2018-08-25,3,10,0.0,0.0,1.0,0.0,1.0,5.0,14.0,1.0,4.0,8.0,10.0,7.0,7.0,0.0,1.0,1.0,0.0,2.37,3.0,3.7,2.25,18/19
23,2018-08-25,8,16,1.0,0.0,0.0,0.0,0.0,22.0,6.0,8.0,2.0,8.0,14.0,8.0,5.0,1.0,1.0,0.0,0.0,1.16,8.5,19.0,1.16,18/19
24,2018-08-25,9,13,1.0,2.0,2.0,0.0,1.0,11.0,8.0,5.0,5.0,13.0,11.0,10.0,3.0,1.0,1.0,1.0,0.0,2.45,3.2,3.25,2.4,18/19
25,2018-08-25,6,18,1.0,1.0,1.0,0.0,1.0,11.0,18.0,2.0,6.0,13.0,8.0,5.0,9.0,1.0,2.0,0.0,0.0,11.0,6.5,1.28,10.0,18/19
26,2018-08-26,2,17,4.0,2.0,0.0,2.0,0.0,25.0,12.0,12.0,2.0,11.0,8.0,6.0,4.0,2.0,1.0,0.0,0.0,2.0,3.4,4.33,2.0,18/19
27,2018-08-26,4,11,1.0,2.0,2.0,0.0,1.0,6.0,15.0,2.0,3.0,16.0,8.0,4.0,5.0,3.0,1.0,0.0,0.0,5.75,4.0,1.66,5.25,18/19
28,2018-08-26,5,19,2.0,1.0,0.0,0.0,1.0,13.0,9.0,5.0,3.0,14.0,11.0,6.0,3.0,4.0,2.0,0.0,0.0,2.6,3.25,3.0,2.55,18/19
29,2018-08-27,0,14,0.0,3.0,2.0,0.0,1.0,23.0,9.0,5.0,5.0,11.0,16.0,5.0,2.0,2.0,4.0,0.0,0.0,2.62,3.3,2.9,2.55,18/19
30,2018-09-01,16,2,2.0,2.0,1.0,1.0,2.0,15.0,10.0,5.0,5.0,12.0,14.0,7.0,1.0,3.0,3.0,0.0,0.0,2.3,3.4,3.4,2.2,18/19
31,2018-09-01,11,1,2.0,0.0,0.0,0.0,1.0,24.0,8.0,6.0,1.0,10.0,7.0,7.0,6.0,2.0,2.0,0.0,0.0,1.3,6.0,11.0,1.28,18/19
32,2018-09-01,19,9,0.0,2.0,2.0,0.0,1.0,20.0,19.0,6.0,6.0,11.0,12.0,7.0,4.0,1.0,1.0,0.0,0.0,2.0,3.5,4.2,1.95,18/19
33,2018-09-01,12,3,1.0,1.0,1.0,1.0,1.0,11.0,9.0,1.0,6.0,13.0,14.0,4.0,3.0,3.0,3.0,0.0,0.0,1.53,4.2,7.5,1.5,18/19
34,2018-09-01,13,8,1.0,2.0,2.0,2.0,2.0,12.0,10.0,5.0,4.0,9.0,12.0,4.0,4.0,3.0,2.0,0.0,0.0,7.5,5.0,1.44,6.5,18/19
35,2018-09-01,18,4,2.0,1.0,0.0,1.0,1.0,24.0,3.0,8.0,2.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,1.11,11.0,26.0,1.12,18/19
36,2018-09-01,15,6,0.0,1.0,2.0,0.0,1.0,13.0,15.0,3.0,6.0,10.0,11.0,4.0,4.0,2.0,1.0,0.0,0.0,2.6,3.4,2.87,2.5,18/19
37,2018-09-02,17,0,0.0,2.0,2.0,2.0,2.0,9.0,21.0,2.0,9.0,7.0,13.0,2.0,5.0,2.0,3.0,0.0,1.0,6.0,3.75,1.7,6.0,18/19
38,2018-09-02,10,7,2.0,3.0,2.0,1.0,1.0,14.0,17.0,3.0,11.0,12.0,14.0,3.0,9.0,3.0,4.0,0.0,0.0,6.5,4.33,1.57,6.0,18/19
39,2018-09-02,5,14,2.0,1.0,0.0,0.0,1.0,7.0,11.0,3.0,2.0,9.0,8.0,3.0,10.0,2.0,1.0,0.0,0.0,5.5,4.2,1.64,5.5,18/19
40,2018-09-15,1,13,4.0,2.0,0.0,0.0,0.0,10.0,14.0,5.0,8.0,13.0,15.0,4.0,6.0,3.0,2.0,0.0,1.0,2.45,3.5,3.0,2.4,18/19
41,2018-09-15,11,10,4.0,1.0,0.0,1.0,0.0,18.0,6.0,7.0,2.0,8.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,1.18,8.0,19.0,1.19,18/19
42,2018-09-15,3,19,0.0,1.0,2.0,1.0,2.0,15.0,7.0,2.0,2.0,11.0,17.0,5.0,3.0,1.0,2.0,0.0,0.0,3.3,3.1,2.5,3.1,18/19
43,2018-09-15,18,2,3.0,0.0,0.0,0.0,0.0,28.0,9.0,9.0,3.0,7.0,7.0,10.0,4.0,0.0,0.0,0.0,0.0,1.12,10.0,26.0,1.13,18/19
44,2018-09-15,4,7,1.0,2.0,2.0,0.0,1.0,4.0,12.0,2.0,2.0,13.0,11.0,10.0,4.0,0.0,0.0,0.0,0.0,4.2,3.8,1.9,4.0,18/19
45,2018-09-15,14,8,1.0,2.0,2.0,1.0,2.0,11.0,17.0,3.0,10.0,17.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,3.6,2.4,2.95,18/19
46,2018-09-15,5,0,1.0,2.0,2.0,2.0,2.0,14.0,9.0,5.0,6.0,9.0,11.0,6.0,8.0,2.0,1.0,0.0,1.0,4.33,3.6,1.95,4.2,18/19
47,2018-09-16,12,15,1.0,3.0,2.0,2.0,2.0,16.0,9.0,4.0,4.0,15.0,12.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,3.75,3.9,2.0,18/19
48,2018-09-16,6,17,1.0,0.0,0.0,0.0,1.0,30.0,7.0,7.0,2.0,10.0,9.0,8.0,2.0,2.0,4.0,0.0,0.0,1.75,3.6,5.75,1.7,18/19
49,2018-09-17,9,16,2.0,2.0,1.0,0.0,0.0,14.0,12.0,5.0,4.0,10.0,13.0,1.0,4.0,2.0,3.0,0.0,0.0,2.1,3.4,3.9,2.1,18/19
50,2018-09-22,16,14,1.0,2.0,2.0,1.0,2.0,8.0,16.0,4.0,7.0,15.0,9.0,5.0,7.0,2.0,1.0,0.0,0.0,5.0,4.0,1.75,4.75,18/19
51,2018-09-22,17,1,4.0,0.0,0.0,0.0,0.0,12.0,19.0,5.0,5.0,17.0,6.0,3.0,8.0,2.0,0.0,0.0,0.0,3.0,3.4,2.5,2.8,18/19
52,2018-09-22,10,18,0.0,5.0,2.0,3.0,2.0,2.0,21.0,2.0,10.0,6.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,23.0,8.0,1.16,17.5,18/19
53,2018-09-22,19,4,0.0,0.0,1.0,0.0,1.0,16.0,6.0,4.0,3.0,8.0,11.0,9.0,5.0,1.0,1.0,0.0,0.0,2.14,3.4,3.75,2.15,18/19
54,2018-09-22,2,5,1.0,1.0,1.0,1.0,2.0,15.0,11.0,3.0,6.0,11.0,9.0,8.0,8.0,2.0,1.0,0.0,0.0,2.54,3.5,2.9,2.35,18/19
