,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,Season,BWA
0,2018-08-10,0,19,4.0,0.0,0.0,0.0,0.0,23.0,5.0,10.0,1.0,7.0,20.0,5.0,1.0,1.0,3.0,0.0,0.0,1.4,4.5,8.0,1.4,4.5,18/19,
1,2018-08-11,1,17,3.0,4.0,2.0,1.0,1.0,21.0,14.0,7.0,5.0,20.0,12.0,5.0,1.0,2.0,2.0,0.0,1.0,2.3,3.2,3.3,2.3,3.1,18/19,
2,2018-08-11,2,16,3.0,1.0,0.0,1.0,1.0,15.0,8.0,6.0,2.0,12.0,13.0,2.0,6.0,1.0,0.0,0.0,0.0,2.5,3.1,3.1,2.55,3.1,18/19,
3,2018-08-11,3,13,1.0,2.0,2.0,0.0,0.0,16.0,9.0,7.0,4.0,15.0,21.0,4.0,2.0,2.0,2.0,0.0,0.0,1.72,3.5,5.5,1.7,3.6,18/19,
4,2018-08-11,4,15,1.0,3.0,2.0,0.0,1.0,16.0,11.0,4.0,6.0,8.0,15.0,7.0,2.0,1.0,0.0,0.0,0.0,3.2,3.25,2.3,3.1,3.25,18/19,
5,2018-08-11,5,10,0.0,1.0,2.0,1.0,2.0,19.0,5.0,1.0,3.0,13.0,14.0,10.0,2.0,1.0,2.0,0.0,0.0,1.85,3.5,4.5,1.83,3.5,18/19,
6,2018-08-11,6,14,2.0,1.0,0.0,0.0,0.0,11.0,11.0,6.0,5.0,14.0,11.0,6.0,9.0,3.0,1.0,0.0,0.0,1.8,3.5,4.75,1.85,3.4,18/19,
7,2018-08-12,7,18,0.0,2.0,2.0,0.0,1.0,5.0,17.0,2.0,6.0,6.0,12.0,3.0,10.0,1.0,0.0,1.0,0.0,1.7,3.6,5.0,1.7,3.8,18/19,
8,2018-08-12,8,11,2.0,0.0,0.0,0.0,0.0,15.0,10.0,7.0,1.0,9.0,17.0,10.0,1.0,0.0,2.0,0.0,0.0,1.2,7.0,13.0,1.22,6.75,18/19,
9,2018-08-12,9,12,3.0,0.0,0.0,0.0,0.0,11.0,5.0,8.0,1.0,13.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,1.08,12.0,23.0,1.11,9.75,18/19,
10,2018-08-17,10,8,1.0,0.0,0.0,0.0,0.0,7.0,19.0,2.0,5.0,11.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,4.75,4.0,1.7,5.0,3.8,18/19,
11,2018-08-18,11,3,1.0,2.0,2.0,0.0,1.0,11.0,7.0,2.0,3.0,15.0,15.0,6.0,2.0,1.0,3.0,0.0,0.0,3.2,3.0,2.5,3.1,2.95,18/19,
12,2018-08-18,12,5,1.0,1.0,1.0,0.0,1.0,13.0,16.0,4.0,5.0,22.0,11.0,5.0,10.0,2.0,2.0,0.0,0.0,2.75,3.1,2.75,2.75,3.1,18/19,
13,2018-08-18,13,4,2.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.0,18.0,13.0,3.0,4.0,0.0,1.0,0.0,1.0,2.6,3.25,2.8,2.65,3.1,18/19,
14,2018-08-18,14,9,1.0,3.0,2.0,0.0,0.0,11.0,17.0,3.0,7.0,15.0,16.0,4.0,7.0,0.0,1.0,0.0,0.0,13.0,7.0,1.2,12.5,6.5,18/19,
15,2018-08-18,15,2,0.0,0.0,1.0,0.0,1.0,10.0,13.0,1.0,4.0,10.0,14.0,8.0,4.0,0.0,0.0,0.0,0.0,1.5,4.33,6.5,1.53,4.33,18/19,
