,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,Season,BWA
0,2018-08-18,0,8,2.0,3.0,2.0,1.0,1.0,7.0,23.0,2.0,11.0,7.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,13.0,5.75,1.25,14.0,6.25,18/19,
1,2018-08-18,1,9,1.0,2.0,2.0,1.0,1.0,9.0,11.0,5.0,6.0,8.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,2.8,3.4,2.5,2.8,3.5,18/19,
2,2018-08-19,2,15,0.0,1.0,2.0,0.0,1.0,8.0,10.0,3.0,5.0,16.0,11.0,7.0,0.0,4.0,2.0,1.0,0.0,2.25,3.2,3.4,2.25,3.2,18/19,
3,2018-08-19,3,10,2.0,0.0,0.0,0.0,0.0,9.0,12.0,4.0,5.0,19.0,19.0,6.0,6.0,3.0,3.0,0.0,0.0,2.14,3.2,3.6,2.15,3.25,18/19,
4,2018-08-19,4,16,2.0,2.0,1.0,0.0,0.0,9.0,16.0,6.0,6.0,10.0,13.0,4.0,5.0,2.0,2.0,0.0,0.0,2.45,3.3,2.9,2.45,3.2,18/19,
5,2018-08-19,5,14,1.0,0.0,0.0,0.0,0.0,7.0,11.0,5.0,4.0,23.0,11.0,4.0,4.0,3.0,2.0,0.0,0.0,5.5,4.0,1.61,5.25,3.9,18/19,
6,2018-08-19,6,17,0.0,1.0,2.0,0.0,1.0,8.0,16.0,5.0,13.0,10.0,14.0,6.0,5.0,1.0,3.0,0.0,0.0,3.5,3.5,2.1,3.5,3.6,18/19,
7,2018-08-20,7,12,4.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,1.0,14.0,10.0,4.0,4.0,0.0,2.0,0.0,0.0,1.36,4.5,11.0,1.36,5.0,18/19,
8,2018-08-25,8,1,2.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,3.0,12.0,13.0,6.0,2.0,3.0,2.0,0.0,0.0,1.36,5.0,8.5,1.36,5.0,18/19,
9,2018-08-25,9,18,3.0,2.0,0.0,1.0,2.0,21.0,6.0,13.0,4.0,12.0,9.0,5.0,1.0,2.0,2.0,0.0,0.0,1.61,4.0,5.5,1.62,4.0,18/19,
10,2018-08-26,10,5,2.0,2.0,1.0,0.0,0.0,12.0,12.0,7.0,6.0,14.0,14.0,7.0,2.0,4.0,4.0,0.0,1.0,2.45,3.3,2.9,2.55,3.2,18/19,
11,2018-08-26,11,0,6.0,1.0,0.0,0.0,0.0,19.0,5.0,15.0,3.0,14.0,8.0,2.0,3.0,1.0,3.0,0.0,0.0,1.5,4.33,6.5,1.45,4.4,18/19,
12,2018-08-26,12,2,0.0,0.0,1.0,0.0,1.0,11.0,10.0,7.0,5.0,15.0,12.0,2.0,5.0,2.0,1.0,0.0,0.0,3.3,3.0,2.4,3.1,3.25,18/19,
13,2018-08-26,13,3,2.0,1.0,0.0,0.0,0.0,10.0,12.0,4.0,8.0,14.0,15.0,3.0,6.0,3.0,2.0,0.0,0.0,1.95,3.4,4.0,2.0,3.3,18/19,
14,2018-08-26,14,6,2.0,2.0,1.0,0.0,0.0,9.0,10.0,6.0,7.0,16.0,12.0,5.0,4.0,1.0,2.0,0.0,0.0,1.5,4.33,7.0,1.48,4.4,18/19,
15,2018-08-26,15,4,1.0,0.0,0.0,0.0,1.0,15.0,3.0,5.0,0.0,13.0,14.0,7.0,2.0,5.0,2.0,0.0,0.0,2.04,3.3,3.8,2.1,3.2,18/19,
16,2018-08-26,16,19,1.0,0.0,0.0,0.0,0.0,13.0,9.0,5.0,4.0,6.0,10.0,8.0,7.0,1.0,3.0,0.0,0.0,2.4,3.25,3.1,2.4,3.2,18/19,
17,2018-08-27,17,7,3.0,3.0,1.0,3.0,2.0,21.0,17.0,11.0,10.0,9.0,13.0,3.0,11.0,1.0,1.0,0.0,0.0,1.72,3.75,5.0,1.7,4.0,18/19,
18,2018-08-31,18,17,2.0,1.0,0.0,0.0,0.0,18.0,6.0,9.0,3.0,8.0,6.0,8.0,3.0,0.0,2.0,0.0,0.0,2.45,3.4,2.87,2.4,3.4,18/19,
19,2018-09-01,2,14,0.0,3.0,2.0,0.0,1.0,7.0,10.0,1.0,4.0,7.0,10.0,3.0,7.0,1.0,1.0,0.0,0.0,7.0,4.0,1.53,6.25,3.9,18/19,
20,2018-09-01,4,8,1.0,2.0,2.0,1.0,1.0,8.0,20.0,7.0,10.0,15.0,9.0,4.0,7.0,1.0,3.0,0.0,0.0,17.0,7.0,1.18,17.5,7.0,18/19,
21,2018-09-02,7,10,0.0,1.0,2.0,1.0,2.0,8.0,4.0,5.0,3.0,16.0,20.0,5.0,4.0,2.0,2.0,0.0,0.0,1.55,4.2,6.0,1.53,4.2,18/19,
22,2018-09-02,0,3,0.0,0.0,1.0,0.0,1.0,11.0,12.0,5.0,4.0,10.0,11.0,4.0,6.0,1.0,1.0,0.0,0.0,2.3,3.2,3.3,2.4,3.1,18/19,
23,2018-09-02,11,16,1.0,0.0,0.0,0.0,1.0,13.0,4.0,4.0,1.0,10.0,15.0,11.0,4.0,3.0,1.0,0.0,0.0,1.57,4.0,6.0,1.57,4.0,18/19,
