,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,H_ELO,A_ELO,IDX,HTGD,ATGD,HP,AP,HTTP,ATTP,HGD,AGD
0,2012-08-24,Borussia Dortmund,Werder Bremen,2,1,0,1.3,5.5,9.0,1.33,5.25,9.25,2684,2342,0,0,0,0,0,1,1,0,0
1,2012-08-25,VfB Stuttgart,VfL Wolfsburg,0,1,2,2.0,3.5,3.6,2.05,3.6,3.5,2466,2375,1,0,0,0,0,1,1,0,0
2,2012-08-25,FC Augsburg,Fortuna Düsseldorf,0,2,2,2.0,3.5,3.6,2.1,3.3,3.4,2358,2358,2,0,0,0,0,1,1,0,0
3,2012-08-25,Eintracht Frankfurt,Bayer Leverkusen,2,1,0,2.8,3.4,2.4,3.0,3.6,2.3,2353,2476,3,0,0,0,0,1,1,0,0
4,2012-08-25,SC Freiburg,1. FSV Mainz 05,1,1,1,2.5,3.3,2.75,2.5,3.2,2.8,2364,2378,4,0,0,0,0,1,1,0,0
5,2012-08-25,SpVgg Greuther Fürth,Bayern München,0,3,2,8.5,4.75,1.36,9.25,4.6,1.34,2384,2675,5,0,0,0,0,1,1,0,0
6,2012-08-25,Hamburger SV,1. FC Nürnberg,0,1,2,2.05,3.4,3.5,2.1,3.3,3.4,2288,2385,6,0,0,0,0,1,1,0,0
7,2012-08-25,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,1,0,1.91,3.4,4.0,2.0,3.3,4.0,2502,2314,7,0,0,0,0,1,1,0,0
8,2012-08-26,Hannover 96,FC Schalke 04,2,2,1,2.88,3.4,2.38,2.8,3.4,2.4,2438,2528,8,0,0,0,0,1,1,0,0
9,2012-08-31,1. FSV Mainz 05,SpVgg Greuther Fürth,0,1,2,1.8,3.5,4.5,1.87,3.5,4.33,2374,2372,9,1,1,1,0,10,17,0,-3
10,2012-09-01,Fortuna Düsseldorf,Borussia Mönchengladbach,0,0,1,2.9,3.3,2.4,3.0,3.3,2.3,2363,2486,10,1,1,3,3,1,4,2,1
11,2012-09-01,TSG 1899 Hoffenheim,Eintracht Frankfurt,0,4,2,2.05,3.4,3.5,2.05,3.3,3.8,2303,2360,11,1,1,0,3,12,3,-1,1
12,2012-09-01,Bayer Leverkusen,SC Freiburg,2,0,0,1.57,4.0,5.5,1.62,3.9,5.0,2469,2375,12,1,1,0,1,13,9,-1,0
13,2012-09-01,1. FC Nürnberg,Borussia Dortmund,1,1,1,6.0,4.0,1.55,6.0,4.0,1.53,2401,2691,13,1,1,3,3,5,2,1,1
14,2012-09-01,FC Schalke 04,FC Augsburg,3,1,0,1.36,4.75,8.5,1.36,4.75,8.0,2540,2356,14,1,1,1,0,8,16,0,-2
15,2012-09-01,Werder Bremen,Hamburger SV,2,0,0,1.73,3.75,4.5,1.78,3.75,4.5,2336,2280,15,1,1,0,0,11,14,-1,-1
16,2012-09-02,Bayern München,VfB Stuttgart,6,1,0,1.25,6.0,11.0,1.28,5.5,9.25,2679,2461,16,1,1,3,0,0,15,3,-1
17,2012-09-02,VfL Wolfsburg,Hannover 96,0,4,2,1.95,3.5,3.75,2.0,3.7,3.6,2376,2445,17,1,1,3,1,6,7,1,0
18,2012-09-14,FC Augsburg,VfL Wolfsburg,0,0,1,2.7,3.4,2.5,2.65,3.6,2.55,2344,2374,18,2,2,0,3,15,11,-4,-3
19,2012-09-15,VfB Stuttgart,Fortuna Düsseldorf,0,0,1,1.62,3.8,5.5,1.65,3.8,5.0,2451,2362,19,2,2,0,4,17,4,-6,2
20,2012-09-15,Borussia Mönchengladbach,1. FC Nürnberg,2,3,2,2.0,3.4,3.75,1.87,3.5,4.0,2485,2387,20,2,2,4,4,6,7,1,1
21,2012-09-15,Hannover 96,Werder Bremen,3,2,0,2.3,3.4,3.0,2.35,3.5,2.95,2445,2338,21,2,2,4,3,2,8,4,1
22,2012-09-15,SpVgg Greuther Fürth,FC Schalke 04,0,2,2,3.75,3.5,1.95,4.1,3.6,1.83,2374,2551,22,2,2,3,4,10,3,-2,2
23,2012-09-15,Bayern München,1. FSV Mainz 05,3,1,0,1.17,7.0,15.0,1.17,7.0,14.0,2683,2386,23,2,2,6,1,0,12,8,-1
24,2012-09-15,Borussia Dortmund,Bayer Leverkusen,3,0,0,1.44,4.33,7.0,1.48,4.1,6.75,2696,2466,24,2,2,4,3,5,9,1,1
25,2012-09-16,Eintracht Frankfurt,Hamburger SV,3,2,0,2.0,3.4,3.75,2.0,3.7,3.6,2374,2300,25,2,2,6,0,1,14,5,-3
26,2012-09-16,SC Freiburg,TSG 1899 Hoffenheim,5,3,0,2.4,3.4,2.8,2.3,3.4,3.1,2376,2322,26,2,2,1,0,13,16,-2,-5
27,2012-09-21,1. FC Nürnberg,Eintracht Frankfurt,1,2,2,2.1,3.4,3.4,2.25,3.7,3.1,2373,2381,27,3,3,7,9,5,1,2,6
28,2012-09-22,Fortuna Düsseldorf,SC Freiburg,0,0,1,2.15,3.4,3.3,2.07,3.4,3.45,2380,2362,28,3,3,5,4,6,7,2,0
29,2012-09-22,Hamburger SV,Borussia Dortmund,3,2,0,5.25,4.2,1.57,5.5,3.8,1.6,2307,2669,29,3,3,0,7,16,4,-4,4
30,2012-09-22,1. FSV Mainz 05,FC Augsburg,2,0,0,1.73,3.6,4.75,1.75,3.6,4.5,2377,2331,30,3,3,1,1,13,14,-3,-4
31,2012-09-22,FC Schalke 04,Bayern München,0,2,2,4.0,3.4,1.91,3.8,3.4,1.95,2548,2699,31,3,3,7,9,3,0,4,10
32,2012-09-22,VfL Wolfsburg,SpVgg Greuther Fürth,1,1,1,1.8,3.75,4.2,1.78,3.6,4.33,2370,2355,32,3,3,4,3,9,12,-3,-4
33,2012-09-23,TSG 1899 Hoffenheim,Hannover 96,3,1,0,2.5,3.4,2.7,2.5,3.6,2.75,2350,2440,33,3,3,0,7,17,2,-7,5
34,2012-09-23,Bayer Leverkusen,Borussia Mönchengladbach,1,1,1,1.91,3.6,3.8,2.05,3.6,3.6,2478,2480,34,3,3,3,4,11,8,-2,0
35,2012-09-23,Werder Bremen,VfB Stuttgart,2,2,1,1.91,3.6,3.75,2.0,3.6,3.8,2352,2421,35,3,3,3,1,10,15,0,-6
36,2012-09-25,FC Schalke 04,1. FSV Mainz 05,3,0,0,1.57,3.8,6.0,1.57,3.9,5.75,2544,2395,36,4,4,7,4,4,11,2,-1
37,2012-09-25,SpVgg Greuther Fürth,Fortuna Düsseldorf,0,2,2,2.15,3.25,3.5,2.1,3.4,3.7,2347,2384,37,4,4,4,6,13,6,-4,2
38,2012-09-25,Eintracht Frankfurt,Borussia Dortmund,3,3,1,4.2,3.75,1.8,3.9,3.7,1.83,2390,2679,38,4,4,12,7,1,3,7,3
39,2012-09-25,Bayern München,VfL Wolfsburg,3,0,0,1.2,6.5,13.0,1.2,6.5,12.0,2704,2352,39,4,4,12,5,0,9,12,-3
40,2012-09-26,FC Augsburg,Bayer Leverkusen,1,3,2,3.2,3.3,2.25,3.1,3.2,2.3,2334,2486,40,4,4,1,4,17,12,-6,-2
41,2012-09-26,SC Freiburg,Werder Bremen,1,2,2,2.5,3.4,2.7,2.7,3.6,2.55,2354,2347,41,4,4,5,4,7,10,0,0
42,2012-09-26,Hannover 96,1. FC Nürnberg,4,1,0,2.1,3.4,3.4,2.1,3.5,3.6,2426,2357,42,4,4,7,7,2,5,3,1
43,2012-09-26,Borussia Mönchengladbach,Hamburger SV,2,2,1,1.91,3.5,4.0,1.9,3.4,4.0,2470,2320,43,4,4,5,3,8,14,0,-3
44,2012-09-26,VfB Stuttgart,TSG 1899 Hoffenheim,0,3,2,1.83,3.75,4.0,1.75,3.75,4.33,2437,2348,44,4,4,2,3,16,15,-6,-5
45,2012-09-28,Fortuna Düsseldorf,FC Schalke 04,2,2,1,4.33,3.5,1.83,4.6,3.5,1.85,2375,2536,45,5,5,9,10,4,3,4,5
46,2012-09-29,Werder Bremen,Bayern München,0,2,2,6.0,4.0,1.53,5.5,4.1,1.55,2333,2676,46,5,5,7,15,6,0,1,15
47,2012-09-29,1. FC Nürnberg,VfB Stuttgart,0,2,2,2.3,3.4,3.0,2.2,3.5,3.0,2341,2437,47,5,5,7,2,8,16,-2,-9
48,2012-09-29,Bayer Leverkusen,SpVgg Greuther Fürth,2,0,0,1.44,4.33,7.0,1.45,4.33,6.75,2486,2334,48,5,5,7,4,7,15,0,-6
49,2012-09-29,Hamburger SV,Hannover 96,1,0,0,2.3,3.4,3.0,2.35,3.6,2.95,2334,2432,49,5,5,4,10,13,2,-3,6
50,2012-09-29,Borussia Dortmund,Borussia Mönchengladbach,5,0,0,1.36,4.5,9.0,1.4,4.75,7.0,2681,2480,50,5,5,8,6,5,9,3,0
51,2012-09-29,TSG 1899 Hoffenheim,FC Augsburg,0,0,1,1.75,3.75,4.5,1.75,3.6,4.5,2345,2347,51,5,5,6,1,10,17,-2,-8
