Club,Country,Level,Elo,From,To
Aue,GER,2,1391.54101562,2004-02-02,2004-02-08
Aue,GER,2,1397.93359375,2004-02-09,2004-02-15
Aue,GER,2,1388.50183105,2004-02-16,2004-02-22
Aue,GER,2,1380.41027832,2004-02-23,2004-02-24
Aue,GER,2,1379.70031738,2004-02-25,2004-02-25
Aue,GER,2,1377.30773926,2004-02-26,2004-02-27
Aue,GER,2,1373.19360352,2004-02-28,2004-03-07
Aue,GER,2,1378.88195801,2004-03-08,2004-03-09
Aue,GER,2,1378.81079102,2004-03-10,2004-03-10
Aue,GER,2,1377.51196289,2004-03-11,2004-03-14
Aue,GER,2,1399.28430176,2004-03-15,2004-03-21
Aue,GER,2,1408.12573242,2004-03-22,2004-03-28
Aue,GER,2,1423.73266602,2004-03-29,2004-04-04
Aue,GER,2,1434.88793945,2004-04-05,2004-04-11
Aue,GER,2,1439.515625,2004-04-12,2004-04-16
Aue,GER,2,1447.59741211,2004-04-17,2004-04-25
Aue,GER,2,1448.41870117,2004-04-26,2004-05-02
Aue,GER,2,1438.99853516,2004-05-03,2004-05-09
Aue,GER,2,1445.27490234,2004-05-10,2004-05-16
Aue,GER,2,1446.63208008,2004-05-17,2004-05-23
Aue,GER,2,1442.68823242,2004-05-24,2004-08-07
Aue,GER,2,1460.65844727,2004-08-08,2004-08-11
Aue,GER,2,1464.48730469,2004-08-12,2004-08-13
Aue,GER,2,1475.27575684,2004-08-14,2004-08-25
Aue,GER,2,1474.89282227,2004-08-26,2004-08-29
Aue,GER,2,1470.18054199,2004-08-30,2004-09-12
Aue,GER,2,1466.44250488,2004-09-13,2004-09-14
Aue,GER,2,1463.54418945,2004-09-15,2004-09-15
Aue,GER,2,1470.65881348,2004-09-16,2004-09-16
Aue,GER,2,1473.7166748,2004-09-17,2004-09-19
Aue,GER,2,1461.00842285,2004-09-20,2004-09-26
Aue,GER,2,1459.31347656,2004-09-27,2004-09-28
Aue,GER,2,1459.45202637,2004-09-29,2004-09-29
Aue,GER,2,1463.29309082,2004-09-30,2004-09-30
Aue,GER,2,1459.11853027,2004-10-01,2004-10-03
Aue,GER,2,1448.76867676,2004-10-04,2004-10-15
Aue,GER,2,1464.19946289,2004-10-16,2004-10-19
Aue,GER,2,1465.29589844,2004-10-20,2004-10-20
Aue,GER,2,1468.90124512,2004-10-21,2004-10-21
Aue,GER,2,1472.96960449,2004-10-22,2004-10-24
Aue,GER,2,1459.47558594,2004-10-25,2004-10-28
Aue,GER,2,1454.61035156,2004-10-29,2004-10-31
Aue,GER,2,1463.93188477,2004-11-01,2004-11-02
Aue,GER,2,1466.34802246,2004-11-03,2004-11-03
Aue,GER,2,1463.87756348,2004-11-04,2004-11-04
Aue,GER,2,1467.75073242,2004-11-05,2004-11-05
Aue,GER,2,1461.27612305,2004-11-06,2004-11-14
Aue,GER,2,1466.48217773,2004-11-15,2004-11-19
Aue,GER,2,1463.13830566,2004-11-20,2004-11-23
Aue,GER,2,1465.82202148,2004-11-24,2004-11-24
Aue,GER,2,1464.74328613,2004-11-25,2004-11-25
Aue,GER,2,1462.39025879,2004-11-26,2004-11-28
Aue,GER,2,1469.47033691,2004-11-29,2004-12-01
Aue,GER,2,1467.46826172,2004-12-02,2004-12-02
Aue,GER,2,1466.8470459,2004-12-03,2004-12-03
Aue,GER,2,1460.83496094,2004-12-04,2004-12-07
Aue,GER,2,1467.49487305,2004-12-08,2004-12-08
Aue,GER,2,1471.1887207,2004-12-09,2004-12-12
Aue,GER,2,1478.64477539,2004-12-13,2004-12-15
Aue,GER,2,1485.20397949,2004-12-16,2005-01-22
Aue,GER,2,1480.54821777,2005-01-23,2005-01-28
Aue,GER,2,1476.25,2005-01-29,2005-02-06
Aue,GER,2,1484.2713623,2005-02-07,2005-02-13
Aue,GER,2,1494.62353516,2005-02-14,2005-02-16
Aue,GER,2,1496.20117188,2005-02-17,2005-02-17
Aue,GER,2,1495.86950684,2005-02-18,2005-02-20
Aue,GER,2,1500.32275391,2005-02-21,2005-02-22
Aue,GER,2,1500.48693848,2005-02-23,2005-02-23
Aue,GER,2,1494.65661621,2005-02-24,2005-02-24
Aue,GER,2,1478.28039551,2005-02-25,2005-02-27
Aue,GER,2,1501.30639648,2005-02-28,2005-03-06
Aue,GER,2,1494.51831055,2005-03-07,2005-03-08
Aue,GER,2,1492.23828125,2005-03-09,2005-03-09
Aue,GER,2,1489.08850098,2005-03-10,2005-03-11
Aue,GER,2,1492.51489258,2005-03-12,2005-03-18
Aue,GER,2,1496.52233887,2005-03-19,2005-04-01
Aue,GER,2,1503.2097168,2005-04-02,2005-04-06
Aue,GER,2,1501.40222168,2005-04-07,2005-04-10
Aue,GER,2,1503.36523438,2005-04-11,2005-04-12
