,name,date,rating
0,Liverpool FC,05 Apr 2019,2790
1,Liverpool FC,31 Mar 2019,2786
2,Liverpool FC,17 Mar 2019,2781
3,Liverpool FC,13 Mar 2019,2780
4,Liverpool FC,10 Mar 2019,2762
5,Liverpool FC,03 Mar 2019,2760
6,Liverpool FC,27 Feb 2019,2768
7,Liverpool FC,24 Feb 2019,2762
8,Liverpool FC,19 Feb 2019,2764
9,Liverpool FC,09 Feb 2019,2768
10,Liverpool FC,04 Feb 2019,2764
11,Liverpool FC,30 Jan 2019,2772
12,Liverpool FC,19 Jan 2019,2781
13,Liverpool FC,12 Jan 2019,2780
14,Liverpool FC,03 Jan 2019,2778
15,Liverpool FC,29 Dec 2018,2788
16,Liverpool FC,26 Dec 2018,2778
17,Liverpool FC,21 Dec 2018,2776
18,Liverpool FC,16 Dec 2018,2774
19,Liverpool FC,08 Dec 2018,2767
20,Liverpool FC,05 Dec 2018,2759
21,Liverpool FC,02 Dec 2018,2756
22,Liverpool FC,24 Nov 2018,2745
23,Liverpool FC,24 Nov 2018,2753
24,Liverpool FC,11 Nov 2018,2739
25,Liverpool FC,03 Nov 2018,2738
26,Liverpool FC,27 Oct 2018,2738
27,Liverpool FC,27 Oct 2018,2740
28,Liverpool FC,24 Oct 2018,2737
29,Liverpool FC,20 Oct 2018,2733
30,Liverpool FC,20 Oct 2018,2734
31,Liverpool FC,07 Oct 2018,2731
32,Liverpool FC,29 Sep 2018,2732
33,Liverpool FC,22 Sep 2018,2731
34,Liverpool FC,22 Sep 2018,2734
35,Liverpool FC,18 Sep 2018,2727
36,Liverpool FC,15 Sep 2018,2718
37,Liverpool FC,01 Sep 2018,2700
38,Liverpool FC,01 Sep 2018,2706
39,Liverpool FC,25 Aug 2018,2693
40,Liverpool FC,25 Aug 2018,2695
41,Liverpool FC,20 Aug 2018,2691
42,Liverpool FC,19 Aug 2018,2685
43,Liverpool FC,12 Aug 2018,2677
44,Liverpool FC,26 May 2018,2671
45,Liverpool FC,13 May 2018,2680
46,Liverpool FC,06 May 2018,2675
47,Liverpool FC,02 May 2018,2687
48,Liverpool FC,28 Apr 2018,2705
49,Liverpool FC,24 Apr 2018,2715
50,Liverpool FC,21 Apr 2018,2704
51,Liverpool FC,14 Apr 2018,2713
52,Liverpool FC,10 Apr 2018,2708
53,Liverpool FC,08 Apr 2018,2695
54,Liverpool FC,04 Apr 2018,2701
55,Liverpool FC,31 Mar 2018,2681
56,Liverpool FC,17 Mar 2018,2677
57,Liverpool FC,10 Mar 2018,2670
58,Liverpool FC,06 Mar 2018,2681
59,Liverpool FC,03 Mar 2018,2686
60,Liverpool FC,24 Feb 2018,2683
61,Liverpool FC,14 Feb 2018,2679
62,Liverpool FC,11 Feb 2018,2657
63,Liverpool FC,04 Feb 2018,2649
64,Liverpool FC,30 Jan 2018,2648
65,Liverpool FC,22 Jan 2018,2642
66,Liverpool FC,14 Jan 2018,2660
67,Liverpool FC,01 Jan 2018,2648
68,Liverpool FC,30 Dec 2017,2641
69,Liverpool FC,26 Dec 2017,2636
70,Liverpool FC,22 Dec 2017,2631
71,Liverpool FC,13 Dec 2017,2630
72,Liverpool FC,10 Dec 2017,2638
73,Liverpool FC,06 Dec 2017,2645
74,Liverpool FC,02 Dec 2017,2637
75,Liverpool FC,29 Nov 2017,2625
76,Liverpool FC,25 Nov 2017,2615
77,Liverpool FC,21 Nov 2017,2614
78,Liverpool FC,18 Nov 2017,2616
79,Liverpool FC,04 Nov 2017,2609
80,Liverpool FC,01 Nov 2017,2598
81,Liverpool FC,28 Oct 2017,2593
82,Liverpool FC,22 Oct 2017,2587
83,Liverpool FC,17 Oct 2017,2597
84,Liverpool FC,14 Oct 2017,2582
85,Liverpool FC,01 Oct 2017,2581
86,Liverpool FC,26 Sep 2017,2585
87,Liverpool FC,23 Sep 2017,2590
88,Liverpool FC,16 Sep 2017,2582
89,Liverpool FC,13 Sep 2017,2590
90,Liverpool FC,09 Sep 2017,2594
91,Liverpool FC,27 Aug 2017,2612
92,Liverpool FC,19 Aug 2017,2592
93,Liverpool FC,12 Aug 2017,2588
94,Liverpool FC,21 May 2017,2594
95,Liverpool FC,14 May 2017,2590
96,Liverpool FC,07 May 2017,2574
97,Liverpool FC,01 May 2017,2579
98,Liverpool FC,23 Apr 2017,2572
99,Liverpool FC,16 Apr 2017,2590
100,Liverpool FC,08 Apr 2017,2583
101,Liverpool FC,05 Apr 2017,2575
102,Liverpool FC,01 Apr 2017,2582
103,Liverpool FC,19 Mar 2017,2571
104,Liverpool FC,12 Mar 2017,2568
105,Liverpool FC,04 Mar 2017,2564
106,Liverpool FC,27 Feb 2017,2547
107,Liverpool FC,11 Feb 2017,2567
108,Liverpool FC,04 Feb 2017,2550
109,Liverpool FC,31 Jan 2017,2575
110,Liverpool FC,21 Jan 2017,2574
111,Liverpool FC,15 Jan 2017,2593
112,Liverpool FC,02 Jan 2017,2591
113,Liverpool FC,31 Dec 2016,2597
114,Liverpool FC,27 Dec 2016,2587
115,Liverpool FC,18 Dec 2016,2578
116,Liverpool FC,14 Dec 2016,2569
117,Liverpool FC,11 Dec 2016,2559
118,Liverpool FC,04 Dec 2016,2564
119,Liverpool FC,26 Nov 2016,2580
120,Liverpool FC,19 Nov 2016,2575
121,Liverpool FC,06 Nov 2016,2575
122,Liverpool FC,29 Oct 2016,2563
123,Liverpool FC,22 Oct 2016,2553
124,Liverpool FC,17 Oct 2016,2548
125,Liverpool FC,01 Oct 2016,2549
126,Liverpool FC,24 Sep 2016,2541
127,Liverpool FC,16 Sep 2016,2532
128,Liverpool FC,10 Sep 2016,2518
129,Liverpool FC,27 Aug 2016,2497
130,Liverpool FC,20 Aug 2016,2519
131,Liverpool FC,20 Aug 2016,2493
132,Liverpool FC,14 Aug 2016,2543
133,Liverpool FC,15 May 2016,2528
134,Liverpool FC,11 May 2016,2531
135,Liverpool FC,08 May 2016,2532
136,Liverpool FC,01 May 2016,2524
137,Liverpool FC,23 Apr 2016,2544
138,Liverpool FC,20 Apr 2016,2551
139,Liverpool FC,17 Apr 2016,2537
140,Liverpool FC,10 Apr 2016,2529
141,Liverpool FC,02 Apr 2016,2515
142,Liverpool FC,20 Mar 2016,2514
143,Liverpool FC,06 Mar 2016,2524
144,Liverpool FC,02 Mar 2016,2516
145,Liverpool FC,14 Feb 2016,2493
146,Liverpool FC,06 Feb 2016,2476
147,Liverpool FC,02 Feb 2016,2482
148,Liverpool FC,23 Jan 2016,2494
149,Liverpool FC,17 Jan 2016,2486
150,Liverpool FC,13 Jan 2016,2498
151,Liverpool FC,02 Jan 2016,2495
152,Liverpool FC,30 Dec 2015,2512
153,Liverpool FC,26 Dec 2015,2505
154,Liverpool FC,20 Dec 2015,2494
155,Liverpool FC,13 Dec 2015,2514
156,Liverpool FC,06 Dec 2015,2519
157,Liverpool FC,29 Nov 2015,2542
158,Liverpool FC,21 Nov 2015,2537
159,Liverpool FC,08 Nov 2015,2507
160,Liverpool FC,31 Oct 2015,2522
161,Liverpool FC,25 Oct 2015,2500
162,Liverpool FC,17 Oct 2015,2503
163,Liverpool FC,04 Oct 2015,2500
164,Liverpool FC,26 Sep 2015,2498
165,Liverpool FC,20 Sep 2015,2493
166,Liverpool FC,12 Sep 2015,2500
167,Liverpool FC,29 Aug 2015,2510
168,Liverpool FC,24 Aug 2015,2540
169,Liverpool FC,17 Aug 2015,2536
170,Liverpool FC,09 Aug 2015,2532
171,Liverpool FC,24 May 2015,2521
172,Liverpool FC,16 May 2015,2549
173,Liverpool FC,09 May 2015,2574
174,Liverpool FC,02 May 2015,2568
175,Liverpool FC,25 Apr 2015,2565
176,Liverpool FC,18 Apr 2015,2570
177,Liverpool FC,13 Apr 2015,2588
178,Liverpool FC,04 Apr 2015,2582
179,Liverpool FC,21 Mar 2015,2596
180,Liverpool FC,14 Mar 2015,2609
181,Liverpool FC,03 Mar 2015,2602
182,Liverpool FC,28 Feb 2015,2599
183,Liverpool FC,21 Feb 2015,2586
184,Liverpool FC,10 Feb 2015,2570
185,Liverpool FC,07 Feb 2015,2561
186,Liverpool FC,31 Jan 2015,2562
187,Liverpool FC,17 Jan 2015,2553
188,Liverpool FC,10 Jan 2015,2545
189,Liverpool FC,01 Jan 2015,2537
190,Liverpool FC,28 Dec 2014,2544
191,Liverpool FC,26 Dec 2014,2533
192,Liverpool FC,20 Dec 2014,2528
193,Liverpool FC,13 Dec 2014,2527
194,Liverpool FC,09 Dec 2014,2541
195,Liverpool FC,06 Dec 2014,2546
196,Liverpool FC,02 Dec 2014,2553
197,Liverpool FC,29 Nov 2014,2543
198,Liverpool FC,26 Nov 2014,2537
199,Liverpool FC,22 Nov 2014,2539
200,Liverpool FC,08 Nov 2014,2561
201,Liverpool FC,04 Nov 2014,2570
202,Liverpool FC,01 Nov 2014,2573
203,Liverpool FC,25 Oct 2014,2589
204,Liverpool FC,22 Oct 2014,2598
205,Liverpool FC,18 Oct 2014,2611
206,Liverpool FC,04 Oct 2014,2608
207,Liverpool FC,01 Oct 2014,2604
208,Liverpool FC,27 Sep 2014,2620
209,Liverpool FC,20 Sep 2014,2624
210,Liverpool FC,16 Sep 2014,2649
211,Liverpool FC,13 Sep 2014,2645
212,Liverpool FC,31 Aug 2014,2664
213,Liverpool FC,25 Aug 2014,2647
214,Liverpool FC,17 Aug 2014,2658
215,Liverpool FC,11 May 2014,2653
216,Liverpool FC,05 May 2014,2651
217,Liverpool FC,27 Apr 2014,2657
218,Liverpool FC,20 Apr 2014,2675
219,Liverpool FC,13 Apr 2014,2672
220,Liverpool FC,06 Apr 2014,2661
221,Liverpool FC,30 Mar 2014,2656
222,Liverpool FC,26 Mar 2014,2643
223,Liverpool FC,22 Mar 2014,2640
224,Liverpool FC,16 Mar 2014,2636
225,Liverpool FC,01 Mar 2014,2614
226,Liverpool FC,23 Feb 2014,2601
227,Liverpool FC,12 Feb 2014,2597
228,Liverpool FC,08 Feb 2014,2592
229,Liverpool FC,02 Feb 2014,2569
230,Liverpool FC,28 Jan 2014,2573
231,Liverpool FC,18 Jan 2014,2554
232,Liverpool FC,12 Jan 2014,2561
233,Liverpool FC,01 Jan 2014,2551
234,Liverpool FC,29 Dec 2013,2546
235,Liverpool FC,26 Dec 2013,2553
236,Liverpool FC,21 Dec 2013,2558
237,Liverpool FC,07 Dec 2013,2555
238,Liverpool FC,04 Dec 2013,2547
239,Liverpool FC,01 Dec 2013,2537
240,Liverpool FC,23 Nov 2013,2563
241,Liverpool FC,09 Nov 2013,2562
242,Liverpool FC,02 Nov 2013,2553
243,Liverpool FC,26 Oct 2013,2563
244,Liverpool FC,19 Oct 2013,2554
245,Liverpool FC,05 Oct 2013,2558
246,Liverpool FC,29 Sep 2013,2554
247,Liverpool FC,21 Sep 2013,2545
248,Liverpool FC,16 Sep 2013,2563
249,Liverpool FC,01 Sep 2013,2566
250,Liverpool FC,24 Aug 2013,2553
251,Liverpool FC,17 Aug 2013,2545
252,Liverpool FC,19 May 2013,2540
253,Liverpool FC,12 May 2013,2537
254,Liverpool FC,05 May 2013,2526
255,Liverpool FC,27 Apr 2013,2528
256,Liverpool FC,21 Apr 2013,2507
257,Liverpool FC,13 Apr 2013,2507
258,Liverpool FC,07 Apr 2013,2513
259,Liverpool FC,31 Mar 2013,2519
260,Liverpool FC,16 Mar 2013,2511
261,Liverpool FC,10 Mar 2013,2532
262,Liverpool FC,02 Mar 2013,2520
263,Liverpool FC,17 Feb 2013,2504
264,Liverpool FC,11 Feb 2013,2486
265,Liverpool FC,03 Feb 2013,2508
266,Liverpool FC,30 Jan 2013,2502
267,Liverpool FC,19 Jan 2013,2499
268,Liverpool FC,13 Jan 2013,2485
269,Liverpool FC,02 Jan 2013,2489
270,Liverpool FC,30 Dec 2012,2477
271,Liverpool FC,26 Dec 2012,2465
272,Liverpool FC,22 Dec 2012,2480
273,Liverpool FC,15 Dec 2012,2465
274,Liverpool FC,09 Dec 2012,2488
275,Liverpool FC,01 Dec 2012,2479
276,Liverpool FC,28 Nov 2012,2473
277,Liverpool FC,25 Nov 2012,2481
278,Liverpool FC,17 Nov 2012,2482
